SIGLA UF;COD. UF;COD. MUNICIPIO;MUNICIPIO;POPULACAO
RO;11;15;Alta Floresta D'Oeste;25.437
RO;11;23;Ariquemes;107.345
RO;11;31;Cabixi;6.224
RO;11;49;Cacoal;88.507
RO;11;56;Cerejeiras;17.934
RO;11;64;Colorado do Oeste;18.467
RO;11;72;Corumbiara;8.659
RO;11;80;Costa Marques;17.400
RO;11;98;Espigão D'Oeste;33.030
RO;11;106;Guajará-Mirim;47.451
RO;11;114;Jaru;55.871
RO;11;122;Ji-Paraná;132.667
RO;11;130;Machadinho D'Oeste;38.609
RO;11;148;Nova Brasilândia D'Oeste;21.747
RO;11;155;Ouro Preto do Oeste;39.759
RO;11;189;Pimenta Bueno;38.051
RO;11;205;Porto Velho;519.436 (1)
RO;11;254;Presidente Médici;22.124
RO;11;262;Rio Crespo;3.829
RO;11;288;Rolim de Moura;57.074
RO;11;296;Santa Luzia D'Oeste;8.198
RO;11;304;Vilhena;95.630
RO;11;320;São Miguel do Guaporé;24.181
RO;11;338;Nova Mamoré;28.891
RO;11;346;Alvorada D'Oeste;16.747
RO;11;379;Alto Alegre dos Parecis;14.045
RO;11;403;Alto Paraíso;20.916
RO;11;452;Buritis;39.044
RO;11;502;Novo Horizonte do Oeste;10.051
RO;11;601;Cacaulândia;6.460
RO;11;700;Campo Novo de Rondônia;14.484
RO;11;809;Candeias do Jamari;25.266
RO;11;908;Castanheiras;3.550
RO;11;924;Chupinguaia;10.593
RO;11;940;Cujubim;22.443
RO;11;1005;Governador Jorge Teixeira;9.745
RO;11;1104;Itapuã do Oeste;10.310
RO;11;1203;Ministro Andreazza;10.751
RO;11;1302;Mirante da Serra;12.258
RO;11;1401;Monte Negro;16.186
RO;11;1435;Nova União;7.769
RO;11;1450;Parecis;5.904
RO;11;1468;Pimenteiras do Oeste;2.410
RO;11;1476;Primavera de Rondônia;3.411
RO;11;1484;São Felipe D'Oeste;5.994
RO;11;1492;São Francisco do Guaporé;19.694
RO;11;1500;Seringueiras;12.653
RO;11;1559;Teixeirópolis;4.931
RO;11;1609;Theobroma;11.350
RO;11;1708;Urupá;13.106
RO;11;1757;Vale do Anari;11.149
